"","age","sex","stage","alive"
"1",26,1,"adult",TRUE
"2",22,1,"adult",TRUE
"3",19,1,"adult",TRUE
"4",17,1,"adult",TRUE
"5",4,1,"larva",TRUE
"6",6,0,"larva",TRUE
"7",15,0,"adult",TRUE
"8",25,0,"adult",TRUE
"9",10,1,"larva",TRUE
"10",13,0,"adult",TRUE
"11",27,0,"adult",TRUE
"12",23,1,"adult",TRUE
"13",17,1,"adult",TRUE
"14",23,0,"adult",TRUE
"15",11,0,"pupa",TRUE
"16",12,1,"pupa",TRUE
"17",12,1,"pupa",TRUE
"18",16,0,"adult",TRUE
"19",8,0,"larva",TRUE
"20",13,1,"adult",TRUE
"21",13,1,"adult",TRUE
"22",17,0,"adult",TRUE
"23",5,0,"larva",TRUE
"24",13,0,"adult",TRUE
"25",29,0,"adult",TRUE
"26",12,0,"pupa",TRUE
"27",15,0,"adult",TRUE
"28",7,0,"larva",TRUE
"29",13,0,"adult",TRUE
"30",4,1,"larva",TRUE
"31",20,0,"adult",TRUE
"32",29,1,"adult",TRUE
"33",8,1,"larva",TRUE
"34",13,0,"adult",TRUE
"35",20,1,"adult",TRUE
"36",7,1,"larva",TRUE
"37",22,1,"adult",TRUE
"38",7,0,"larva",TRUE
"39",26,0,"adult",TRUE
"40",11,1,"pupa",TRUE
"41",1,0,"egg",TRUE
"42",19,0,"adult",TRUE
"43",8,0,"larva",TRUE
"44",16,0,"adult",TRUE
"45",12,0,"pupa",TRUE
"46",12,1,"pupa",TRUE
"47",7,0,"larva",TRUE
"48",24,1,"adult",TRUE
"49",26,0,"adult",TRUE
"50",7,0,"larva",TRUE
